timestamp,Weth supply rate,USDC borrow rate,(USDC borrow rate / 3) - Weth supply rate
2024-01-17 07:00:00,0.0,0.0,0.0
2024-01-17 08:00:00,0.0,0.0,0.0
2024-01-17 09:00:00,0.0,0.0,0.0
2024-01-17 10:00:00,0.0,0.0,0.0
2024-01-17 11:00:00,0.0,0.0,0.0
2024-01-17 12:00:00,0.0,0.0,0.0
2024-01-17 13:00:00,0.0,0.0,0.0
2024-01-17 14:00:00,0.0,0.0,0.0
2024-01-17 15:00:00,0.0,0.0,0.0
2024-01-17 16:00:00,0.0,0.0,0.0
2024-01-17 17:00:00,0.0,0.0,0.0
2024-01-17 18:00:00,0.0,0.0,0.0
2024-01-17 19:00:00,0.0,0.0,0.0
2024-01-17 20:00:00,0.0,0.0,0.0
2024-01-17 21:00:00,0.0,0.0,0.0
2024-01-17 22:00:00,0.0,0.0,0.0
2024-01-17 23:00:00,0.0,0.0,0.0
2024-01-18 00:00:00,0.0,0.0,0.0
2024-01-18 01:00:00,0.0,0.0,0.0
2024-01-18 02:00:00,0.0,0.0,0.0
2024-01-18 03:00:00,0.0,0.0,0.0
2024-01-18 04:00:00,0.0,0.0,0.0
2024-01-18 05:00:00,0.0,0.0,0.0
2024-01-18 06:00:00,0.0,0.0,0.0
2024-01-18 07:00:00,0.0,0.0,0.0
2024-01-18 08:00:00,0.0,0.0,0.0
2024-01-18 09:00:00,0.0,0.0,0.0
2024-01-18 10:00:00,0.0,0.0,0.0
2024-01-18 11:00:00,0.0,0.0,0.0
2024-01-18 12:00:00,0.0,0.0,0.0
2024-01-18 13:00:00,0.0,0.0,0.0
2024-01-18 14:00:00,0.0,0.0,0.0
2024-01-18 15:00:00,0.0,0.0,0.0
2024-01-18 16:00:00,0.0,0.0,0.0
2024-01-18 17:00:00,0.0,0.0,0.0
2024-01-18 18:00:00,0.0,0.0,0.0
2024-01-18 19:00:00,0.0,0.0,0.0
2024-01-18 20:00:00,0.0,0.0,0.0
2024-01-18 21:00:00,0.0,0.0,0.0
2024-01-18 22:00:00,0.0,0.0,0.0
2024-01-18 23:00:00,0.0,0.0,0.0
2024-01-19 00:00:00,0.0,0.0,0.0
2024-01-19 01:00:00,0.0,0.0,0.0
2024-01-19 02:00:00,0.0,0.0,0.0
2024-01-19 03:00:00,0.0,0.0,0.0
2024-01-19 04:00:00,0.0,0.0,0.0
2024-01-19 05:00:00,0.0,0.0,0.0
2024-01-19 06:00:00,0.0,0.0,0.0
2024-01-19 07:00:00,0.0,0.0,0.0
2024-01-19 08:00:00,0.0,0.0,0.0
2024-01-19 09:00:00,0.0,0.0,0.0
2024-01-19 10:00:00,0.0,0.0,0.0
2024-01-19 11:00:00,0.0,0.0,0.0
2024-01-19 12:00:00,0.0,0.0,0.0
2024-01-19 13:00:00,0.0,0.0,0.0
2024-01-19 14:00:00,0.0,0.0,0.0
2024-01-19 15:00:00,0.0,0.0,0.0
2024-01-19 16:00:00,0.0,0.0,0.0
2024-01-19 17:00:00,0.0,0.1233421064869377,0.0411140354956459
2024-01-19 18:00:00,0.0,0.1236249964683991,0.04120833215613303
2024-01-19 19:00:00,0.0,0.1239063648572083,0.04130212161906943
2024-01-19 20:00:00,0.0,0.1244757882714337,0.04149192942381123
2024-01-19 21:00:00,0.0,0.1247613392727551,0.041587113090918365
2024-01-19 22:00:00,0.0,0.125047868365947,0.041682622788649
2024-01-19 23:00:00,0.0,0.1256276996996581,0.04187589989988603
2024-01-20 00:00:00,0.0,0.1259171804004394,0.041972393466813133
2024-01-20 01:00:00,0.0,0.1262063545315703,0.04206878484385677
2024-01-20 02:00:00,0.0,0.1267902147005856,0.0422634049001952
2024-01-20 03:00:00,0.0,0.1270849194418911,0.0423616398139637
2024-01-20 04:00:00,0.0,0.1273806168237472,0.04246020560791574
2024-01-20 05:00:00,0.0,0.1279723651432843,0.04265745504776144
2024-01-20 06:00:00,0.0,0.1282684001024307,0.042756133367476905
2024-01-20 07:00:00,0.0,0.1285654130509704,0.042855137683656806
2024-01-20 08:00:00,0.0,0.1291623761291992,0.043054125376399736
2024-01-20 09:00:00,0.0,0.1294623277294291,0.04315410924314303
